date_str,degrees_from_mean,id,lon,lat,max_temp,min_temp,station_name,type,serialid,year,month,day,year_month,state
2011-03-22,26.23,USC00111265,-89.1658,37.7308,26.7,14.4,CARBONDALE SEWAGE PLT,Strong Hot,1818908,2011,3,22,2011.03,Illinois
1967-01-25,34.69,USC00333029,-82.1822,38.8203,22.8,12.2,GALLIPOLIS,Strong Hot,829510,1967,1,25,1967.01,Ohio
1998-03-27,30.6,USC00398472,-97.8703,42.9919,25.6,8.9,TYNDALL,Strong Hot,1358698,1998,3,27,1998.03,South Dakota
1971-11-01,27.1,USW00013701,-76.1697,39.4717,25.0,19.4,ABERDEEN PHILLIPS FLD,Strong Hot,2122959,1971,11,1,1971.11,Maryland
1981-02-20,18.8,USC00421008,-112.1689,37.6411,12.2,-0.6,BRYCE CANYON NP HQRS,Strong Hot,282129,1981,2,20,1981.02,Utah
1988-06-15,18.79,USC00200417,-82.9939,43.8081,34.4,21.1,BAD AXE,Strong Hot,2702485,1988,6,15,1988.06,Michigan
2006-10-03,26.13,USC00132171,-95.3289,42.0364,31.1,16.7,DENISON,Strong Hot,637594,2006,10,3,2006.1,Iowa
2006-07-30,16.5,USC00214994,-96.1661,45.0025,37.8,24.4,MADISON WWTP,Strong Hot,631985,2006,7,30,2006.07,Minnesota
1998-01-03,25.25,USC00476922,-87.7861,42.7022,11.7,1.7,RACINE,Strong Hot,1347222,1998,1,3,1998.01,Wisconsin
2002-10-01,24.88,USC00202984,-86.21,44.6481,25.6,18.9,FRANKFORT 2NE,Strong Hot,345808,2002,10,1,2002.1,Michigan
2001-11-17,31.79,USC00211374,-94.6147,47.3847,18.9,8.9,CASS LAKE,Strong Hot,1662511,2001,11,17,2001.11,Minnesota
2002-05-30,19.78,USC00020586,-113.1739,34.5972,38.9,19.4,BAGDAD,Strong Hot,332732,2002,5,30,2002.05,Arizona
2000-09-07,14.17,USW00023009,-104.5083,33.3075,38.3,20.6,ROSWELL IND AIR PK,Strong Hot,1128765,2000,9,7,2000.09,New Mexico
2000-02-26,35.05,USW00014840,-86.2367,43.1711,18.9,8.9,MUSKEGON CO AP,Strong Hot,1094281,2000,2,26,2000.02,Michigan
2003-04-14,27.79,USC00206507,-84.9767,45.3725,26.7,11.1,PETOSKEY,Strong Hot,480809,2003,4,14,2003.04,Michigan
1989-04-17,17.29,USC00425148,-111.6433,38.4058,23.3,4.4,LOA,Strong Hot,2005417,1989,4,17,1989.04,Utah
1999-11-08,33.63,USC00217149,-96.2869,46.4808,22.2,7.8,ROTHSAY,Strong Hot,2923591,1999,11,8,1999.11,Minnesota
2007-06-28,12.59,USC00333029,-82.1822,38.8203,35.0,21.7,GALLIPOLIS,Strong Hot,1471207,2007,6,28,2007.06,Ohio
1995-07-15,14.4,USC00474582,-88.7594,45.5119,31.1,20.0,LAONA 6 SW,Strong Hot,2227625,1995,7,15,1995.07,Wisconsin
2012-03-17,26.97,USW00013964,-94.3625,35.3331,30.6,18.9,FT SMITH RGNL AP,Strong Hot,1511923,2012,3,17,2012.03,Arkansas
2000-05-28,12.38,USC00093754,-81.9522,31.9881,35.6,22.8,GLENNVILLE 3NW,Strong Hot,1132579,2000,5,28,2000.05,Georgia
2010-11-05,18.18,USC00049378,-117.2269,33.2294,34.4,15.6,VISTA 2 NNE,Strong Hot,2780945,2010,11,5,2010.11,California
2008-01-07,28.12,USC00413225,-100.1369,36.4328,22.8,7.2,FOLLETT,Strong Hot,465431,2008,1,7,2008.01,Texas
1979-10-07,19.04,USW00023062,-104.8694,39.7633,30.0,10.0,DENVER-STAPLETON,Strong Hot,1696573,1979,10,7,1979.1,Colorado
1982-03-19,23.49,USC00164355,-93.0625,32.81,30.0,18.9,HOMER 1N,Strong Hot,1287534,1982,3,19,1982.03,Louisiana
2012-09-03,12.78,USW00023044,-106.3758,31.8111,37.2,23.3,EL PASO INTL AP,Strong Hot,1538269,2012,9,3,2012.09,Texas
2000-02-26,38.62,USC00332974,-83.1189,41.3331,22.8,10.0,FREMONT,Strong Hot,1093879,2000,2,26,2000.02,Ohio
1979-09-03,15.36,USC00297340,-108.7281,32.7047,37.2,21.7,REDROCK 1 NNE,Strong Hot,1693886,1979,9,3,1979.09,New Mexico
1988-08-16,21.44,USW00014925,-92.4917,43.9042,37.2,24.4,ROCHESTER INTL AP,Strong Hot,2729334,1988,8,16,1988.08,Minnesota
1998-01-06,34.95,USC00331458,-81.1833,41.5833,15.6,10.0,CHARDON,Strong Hot,1341375,1998,1,6,1998.01,Ohio
2002-07-08,13.08,USC00427686,-111.7794,39.9578,38.9,22.8,SANTAQUIN CHLORINATOR,Strong Hot,360648,2002,7,8,2002.07,Utah
2006-06-19,18.81,USC00174086,-70.2583,45.6275,31.7,17.8,JACKMAN,Strong Hot,622187,2006,6,19,2006.06,Maine
1998-12-05,29.63,USC00136719,-94.6614,42.7292,13.3,3.9,POCAHONTAS,Strong Hot,1311617,1998,12,5,1998.12,Iowa
